E0:CB:4E:8C:6F:C6,5,4,RM1,1-01
E0:CB:4E:8C:74:7A,5,3,RM1,1-07
E0:CB:4E:8C:70:78,5,2,RM1,1-13
70:71:BC:AC:70:20,5,1,RM1,1-19
70:54:D2:AB:35:93,5,0,RM1,1-25
E0:CB:4E:8C:6D:62,4,4,RM1,1-02
E0:CB:4E:8C:74:B3,4,3,RM1,1-08
E0:CB:4E:8C:70:03,4,2,RM1,1-14
70:71:BC:A3:74:85,4,1,RM1,1-20
70:71:BC:AC:70:89,4,0,RM1,1-26
E0:CB:4E:8C:72:FC,3,4,RM1,1-03
E0:CB:4E:8C:6F:C1,3,3,RM1,1-09
E0:CB:4E:8C:6F:CF,3,2,RM1,1-15
70:71:BC:AC:E8:6D,3,1,RM1,1-21
E0:CB:4E:8C:6E:F2,3,0,RM1,1-27
E0:CB:4E:8C:71:0E,2,4,RM1,1-04
E0:CB:4E:8C:74:39,2,3,RM1,1-10
E0:CB:4E:8C:4B:DA,2,2,RM1,1-16
70:71:BC:63:5F:F6,2,1,RM1,1-22
70:71:BC:A3:70:FA,2,0,RM1,1-28
E0:CB:4E:8C:73:22,1,4,RM1,1-05
E0:CB:4E:8C:71:14,1,3,RM1,1-11
E0:CB:4E:8C:74:C6,1,2,RM1,1-17
70:71:BC:AC:6F:D5,1,1,RM1,1-23
E0:69:95:C8:82:F5,1,0,RM1,1-29
38:60:77:3F:33:87,0,4,RM1,1-06
E0:CB:4E:8C:73:43,0,3,RM1,1-12
E0:CB:4E:8C:73:0C,0,2,RM1,1-18
70:71:BC:A3:70:29,0,1,RM1,1-24
E0:CB:4E:8C:6C:AB,0,0,RM1,1-30
38:60:77:3F:32:25,0,0,rm2,2-25
38:60:77:3F:32:89,0,1,rm2,2-19
38:60:77:3F:2D:28,0,2,rm2,2-13
38:60:77:3F:32:B3,0,3,rm2,2-07
38:60:77:3F:31:C5,0,4,rm2,2-01
38:60:77:3F:2B:F6,1,0,rm2,2-26
38:60:77:3F:31:D1,1,1,rm2,2-20
38:60:77:3F:09:01,1,2,rm2,2-14
38:60:77:3F:32:16,1,3,rm2,2-08
38:60:77:3C:AC:93,1,4,rm2,2-02
38:60:77:3F:31:F4,2,0,rm2,2-27
38:60:77:3F:2C:76,2,1,rm2,2-21
38:60:77:3F:31:12,2,2,rm2,2-15
38:60:77:3F:2B:CB,2,3,rm2,2-09
38:60:77:3F:32:A1,2,4,rm2,2-03
70:54:D2:AB:2D:B7,3,0,rm2,2-28
70:71:BC:A3:75:B3,3,1,rm2,2-22
38:60:77:3F:2C:F5,3,2,rm2,2-16
38:60:77:3F:1F:B1,3,3,rm2,2-10
38:60:77:3F:2B:CD,3,4,rm2,2-04
38:60:77:3F:32:2D,4,0,rm2,2-29
38:60:77:3F:32:96,4,1,rm2,2-23
38:60:77:3F:17:04,4,2,rm2,2-17
